Open,High,Low
4.9839,5.0583,4.9832
5.0093,5.1556,5.0064
5.1426,5.1728,5.0736
5.0959,5.2312,5.0959
5.1776,5.2838,5.1747
5.2417,5.3535,5.2336
5.3513,5.4008,5.2804
5.3837,5.4233,5.3354
5.3542,5.4003,5.2935
5.316,5.3162,5.1859
5.2499,5.3088,5.1996
5.2657,5.3252,5.2355
5.3112,5.3258,5.2049
5.2829,5.3527,5.239
5.3405,5.3985,5.3299
5.3342,5.3835,5.3162
5.3183,5.3911,5.267
5.2893,5.3381,5.2605
5.2972,5.2972,5.2375
5.2492,5.3169,5.2104
5.2188,5.2572,5.1291
5.1565,5.2049,5.1145
5.1578,5.2406,5.1541
5.2244,5.2347,5.1551
5.1737,5.1978,5.1107
5.1115,5.212,5.0937
5.211,5.2383,5.1015
5.1399,5.1863,5.1197
5.1308,5.176,5.089
5.1643,5.1977,5.1281
5.1521,5.2469,5.1422
5.2112,5.2521,5.1431
5.1768,5.1933,5.1173
5.1074,5.1697,5.1001
5.1229,5.1403,5.066
5.0677,5.0706,4.9752
4.9891,5.0935,4.9774
5.0464,5.0594,4.9489
4.995,5.0037,4.9081
4.92,4.9383,4.8582
4.9346,4.9379,4.82
4.835,4.9278,4.8144
4.877,4.9048,4.8452
4.8617,4.9497,4.8591
4.9292,5.0061,4.9001
4.9543,5.0064,4.9015
4.9056,4.9365,4.8828
4.89,4.9665,4.8849
4.9131,4.9821,4.8872
4.933,4.9906,4.919
4.9252,4.9939,4.9173
4.9024,4.9985,4.8839
4.9304,4.966,4.9016
4.8824,4.9366,4.8683
4.8783,4.8986,4.8289
4.8927,5.037,4.8888
5.0324,5.0836,5.0013
5.0138,5.1064,4.9964
5.0815,5.1608,5.049
5.1454,5.2338,5.081
5.2079,5.2875,5.1847
5.2443,5.2741,5.2037
5.2079,5.2831,5.1841
5.2179,5.2761,5.2068
5.2155,5.2899,5.2153
5.2264,5.2282,5.1421
5.1751,5.2783,5.1551
5.2428,5.3119,5.2076
5.2666,5.3185,5.2259
5.3471,5.3709,5.271
5.2671,5.3512,5.2599
5.3129,5.3502,5.277
5.24,5.3437,5.2377
5.251,5.318,5.244
5.248,5.2988,5.223
5.2714,5.2829,5.2013
5.2049,5.2774,5.1999
5.2107,5.2589,5.1769
5.2124,5.2321,5.0828
5.1459,5.1941,5.1027
5.1532,5.1568,5.0709
5.0726,5.1012,5.0024
5.0429,5.131,4.9907
5.1247,5.1707,5.0911
5.0947,5.1194,5.0554
5.0979,5.1156,5.0482
5.0958,5.1541,5.0404
5.1422,5.1536,5.0259
5.0259,5.1228,5.0245
5.1112,5.1146,5.0526
5.1072,5.1075,5.0405
5.0406,5.0437,4.9508
4.9688,5.0542,4.9641
5.0291,5.0631,4.9512
4.9545,5.0283,4.9521
5.0135,5.0471,4.9853
4.9848,5.051,4.9777
5.0126,5.0431,4.9752
4.9709,5.0281,4.9584
4.9611,5.0265,4.9553
5.0002,5.0983,4.9873
5.0724,5.1405,5.0572
5.0887,5.1659,5.0887
5.0913,5.1417,5.0652
5.0563,5.2062,5.0558
5.2063,5.2284,5.1316
5.1296,5.2151,5.1237
5.1916,5.2553,5.1788
5.2422,5.2688,5.1995
5.2646,5.2818,5.2089
5.2273,5.2786,5.2217
5.233,5.2746,5.1855
5.1905,5.2516,5.1841
5.2488,5.3485,5.2275
5.3338,5.3415,5.2623
5.2999,5.337,5.2358
5.3251,5.4144,5.3231
5.3676,5.4157,5.3588
5.3989,5.4186,5.3122
5.3477,5.3551,5.2904
5.3084,5.3883,5.3025
5.3738,5.4066,5.3074
5.3624,5.3766,5.276
5.326113,5.391334,5.312265
5.393174,5.409619,5.35548
5.399075,5.409829,5.301538
5.348671,5.350968,5.267111
5.281071,5.300106,5.244132
5.255331,5.319118,5.237491
5.286135,5.295057,5.249983
5.246952,5.345493,5.242815
5.302701,5.340622,5.275323
5.29181,5.341249,5.276978
5.320403,5.345776,5.262124
5.340807,5.375645,5.284904
5.353705,5.377048,5.266451
5.261883,5.28073,5.234958
5.241408,5.287004,5.219726
5.26306,5.265213,5.228611
5.233803,5.299055,5.207397
5.25075,5.272031,5.209148
5.263352,5.313437,5.230876
5.298045,5.303693,5.168262
5.196777,5.228369,5.135334
5.036321,5.135194,4.957931
5.05432,5.070804,4.801252
4.902553,5.068421,4.85314
5.047444,5.081892,4.93277
4.971495,5.046279,4.964539
5.03489,5.078788,4.957629
5.033143,5.039682,4.938257
5.012313,5.095352,4.970272
4.985154,5.080115,4.921591
5.074456,5.086938,4.999606
5.031613,5.11315,4.99777
5.08905,5.211218,5.060417
5.165595,5.284794,5.157226
5.264904,5.286184,5.164014
5.190257,5.239603,5.156156
5.185847,5.230776,5.135146
5.166388,5.209936,5.118301
5.208979,5.208979,5.109922
5.104008,5.176375,5.098515
5.139121,5.233855,5.108858
5.224766,5.243575,5.171616
5.202184,5.241243,5.16672
5.201016,5.258527,5.168504
5.233889,5.257255,5.199703
5.242685,5.255031,5.206693
5.236443,5.250268,5.185054
5.228638,5.229635,5.141743
5.180817,5.186383,5.095018
5.119412,5.128545,5.040265
5.09185,5.107368,5.040564
5.099678,5.144856,5.07809
5.096487,5.142713,5.058768
5.076705,5.089203,5.031511
5.084423,5.091938,5.001966
5.002586,5.092325,5.002586
5.06247,5.116748,5.003911
5.022191,5.035182,4.9869
5.004363,5.067774,4.997296
5.05622,5.104247,5.008149
5.104231,5.14265,5.063644
5.090754,5.145354,5.089085
5.082174,5.093925,5.051029
5.052221,5.138651,5.045297
5.111536,5.114801,5.040665
5.074747,5.116874,5.037057
5.049796,5.122314,5.0418
5.052243,5.097341,5.00528
5.023972,5.065117,5.004096
5.063814,5.093651,5.021573
5.084555,5.119791,5.035629
5.103856,5.171399,5.079285
5.071714,5.134112,5.068053
5.107776,5.214911,5.107776
5.155212,5.246968,5.150198
5.172038,5.208497,5.136772
5.150805,5.233475,5.150805
5.223474,5.223474,5.147856
5.178562,5.223943,5.155825
5.211435,5.211713,5.129901
5.155303,5.266703,5.155303
5.26221,5.312487,5.217844
5.260742,5.339127,5.260742
5.280051,5.341699,5.277012
5.309281,5.328619,5.240401
5.246397,5.307379,5.231582
5.244109,5.295804,5.244109
5.236958,5.271471,5.168119
5.159877,5.272784,5.159877
5.235182,5.24574,5.180076
5.195916,5.242073,5.119918
5.157086,5.194631,5.097218
5.087767,5.151484,5.031006
5.104365,5.19286,5.104365
5.158256,5.181312,5.121485
5.127966,5.17721,5.126578
5.116235,5.159654,5.001028
5.080515,5.137454,5.068125
5.086837,5.153888,5.07731
5.11307,5.149911,5.059571
5.067326,5.102127,5.038648
5.046519,5.107085,4.998003
5.084948,5.115536,5.056674
5.088836,5.162113,5.088836
5.142008,5.206435,5.132915
5.175976,5.199011,5.13948
5.141365,5.178136,5.108368
5.169564,5.170593,5.096164
5.091136,5.145403,5.057826
5.07509,5.098854,5.00924
5.016967,5.046014,4.972742
5.026205,5.026205,4.925951
4.94168,5.031545,4.94168
5.008595,5.008595,4.912642
4.937565,4.97291,4.894447
4.940578,5.023947,4.930362
4.983278,5.036403,4.95601
4.988462,5.096868,4.985324
5.060776,5.084159,5.029562
5.015517,5.030378,4.947764
